"Summons Number","Plate ID","Registration State","Plate Type","Issue Date","Violation Code","Vehicle Body Type","Vehicle Make","Issuing Agency","Street Code1","Street Code2","Street Code3","Vehicle Expiration Date","Violation Location","Violation Precinct","Issuer Precinct","Issuer Code","Issuer Command","Issuer Squad","Violation Time","Time First Observed","Violation County","Violation In Front Of Or Opposite","House Number","Street Name","Intersecting Street","Date First Observed","Law Section","Sub Division","Violation Legal Code","Days Parking In Effect","From Hours In Effect","To Hours In Effect","Vehicle Color","Unregistered Vehicle?","Vehicle Year","Meter Number","Feet From Curb","Violation Post Code","Violation Description","No Standing or Stopping Violation","Hydrant Violation","Double Parking Violation","Fiscal Year"
"1,483,698,476","JJC1374","NY","PAS","07/02/2026 12:00:00 AM","46","SDN","LEXUS","P","24,690","36,470","36,490","20,270,610","32","32","8","100,832","0008","0000","1246P",,"NY","F","512","LENOX AVE",,"0","408","C4",,"BBBBBBB","ALL","ALL","WHITE","0","2009","-","0",,,,,"20","2026"
"1,498,607,007","LUJ2377","NY","PAS","07/02/2026 12:00:00 AM","17","SDN","MITSU","P","8,120","25,800","25,830","20,270,301","40","40","40","980,069","0040","0000","0945P","0935P","BX","F","266","ALEXANDER AVE",,"20,250,702","408","C4",,"BBBBBBB","ALL","ALL","GRAY","0","2022","-","0",,,,,"20","2026"
"1,499,835,050","80944MN","NY","COM","07/02/2026 12:00:00 AM","78","DELV","FORD","P","23,040","6,790","6,940","20,260,731","109","109","109","960,994","0109","0000","0110A",,"Q","O","22-06","146 ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHITE","0","2015","-","0",,,,,"20","2026"
"1,504,079,796","NBR3861","PA","PAS","07/03/2026 12:00:00 AM","14",,"HONDA","P","41,930","0","0","88,888,888","71","71","71","980,838","0071","0000","0751A",,,"O",,"FRANKLIN AVE","SULLIVAN","20,260,703","408","J2",,"bbbbbbb","ALL","ALL",,"0","0","-","0",,,,,"20","2026"
"1,499,769,880","LVA4797","NY","PAS","07/03/2026 12:00:00 AM","46","SDN","HYUND","P","70,930","73,470","85,030","20,270,325","73","73","73","964,592","0073","0000","0200P",,"K","I","1697","PITKIN AVE",,"0","408","C3",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,"20","2026"
"1,500,553,335","LXG2384","NY","PAS","07/03/2026 12:00:00 AM","40","SUBN","ME/BE","P","35,020","25,980","26,040","20,260,930","40","40","40","971,760","0040","0000","1255A","1255A","BX","F","444","GERARD AVE",,"20,260,703","408","J2",,"BBBBBBB","ALL","ALL","WH","0","2025","-","0",,,,,"20","2026"
"1,501,323,957","T666758C","NY","OMT","07/04/2026 12:00:00 AM","98","SUBN","FSKR","P","51,090","15,990","16,140","20,260,331","102","102","102","977,482","0102","0000","0113A","0113A",,"F","76-01","JAMAICA AVE",,"0","408","K6",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,"20","2026"
"1,497,717,875","LPW5962","NY","PAS","07/04/2026 12:00:00 AM","19","SUBN","LEXUS","P","17,380","77,130","68,830","20,261,105","68","68","68","956,428","0068","0000","0444P",,"K","F","6","BAY RIDGE AVE",,"0","408","J6",,"BBBBBBB","ALL","ALL","GREY","0","0","-","0",,,,,"20","2026"
"1,497,717,929","26385NC","NY","COM","07/04/2026 12:00:00 AM","78","VAN",,"P","10,080","5,880","42,630","20,260,228","68","68","68","956,428","0068","0000","1115P",,"K","F","837","71 ST",,"0","408","C3",,"YYYYYYY","0900P","0500A",,"0","2021","-","0",,,,,"20","2026"
"1,489,170,133","KWG8844","NY","PAS","07/05/2026 12:00:00 AM","20","SUBN",,"P","26,610","64,620","64,720","20,260,906","44","44","44","980,782","0044","0000","0844P",,"BX","I","208","EAST 165",,"0","408","D",,"BBBBBBB","ALL","ALL","BG","0","2022","-","0",,,,,"20","2026"
"1,492,491,056","LLP3418","NY","PAS","07/06/2026 12:00:00 AM","62","SUBN","LEXUS","P","0","0","0","20,260,701","111","111","111","952,911","0111","0000","1159A",,"Q","I",,"S/E/C 53 AVE","190 ST","0","408","K6",,"BBBBBBB","ALL","ALL","GY","0","2007","-","0",,,,,"20","2026"
"1,498,665,860","LNB2163","NY","PAS","07/06/2026 12:00:00 AM","60","SDN","BMW","K","12,035","37,920","0","20,260,728","47","47","2","160,283","0002","0000","0239P",,"BX","F",,"HAFFEN PARK","HAMMERSLEY AVE","0","408","E2",,"BBBBBBB","ALL","ALL","BLUE","0","2002","-","0",,,,,"20","2026"
"1,500,179,711","TFA2296","VA","PAS","07/06/2026 12:00:00 AM","46","SDN","BMW","P","37,130","26,230","77,930","88,888,888","67","67","67","979,725","0067","0000","0350A",,"K","I","338","EAST 53RD STREET",,"0","408","F2",,"BBBBBBB","ALL","ALL","BLK","0","0","-","0",,,,,"20","2026"
"1,501,285,099","MTY0085","PA","PAS","07/07/2026 12:00:00 AM","40","VAN","CHRYS","P","5,880","5,830","5,930","20,260,228","72","72","72","979,475","0072","0000","0319A",,,"F","753","8 AVE",,"0","408","F1",,"BBBBBBB","ALL","ALL",,"0","0","-","1",,,,,"20","2026"
"1,497,803,731","BH65319","CT","PAS","07/07/2026 12:00:00 AM","51","SDN","CHRYS","P","36,230","14,030","14,080","20,250,903","63","63","63","961,211","0063","0000","0613A",,,"F","935","E 32 ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","GRAY","0","2015","-","0",,,,,"20","2026"
"1,500,666,257","THJ7398","VA","PAS","07/08/2026 12:00:00 AM","40","SDN","ME/BE","P","53,790","25,225","43,895","20,260,731","103","103","103","964,827","0103","0000","0235A",,,"F","18718","LIBERTY AVE",,"0","408","F2",,"bbbbbbb","ALL","ALL","RD","0","0","-","0",,,,,,"2026"
"1,493,969,134","BXW4372","NY","PAS","07/08/2026 12:00:00 AM","40","SDN","SWB","P","13,390","27,480","28,135","20,260,930","121","121","121","976,901","0121","0000","1124A","1124A","R","F","289","ADA DR",,"20,260,708","408","J2",,"bbbbbbb","ALL","ALL","SI","0","2023","-","2",,,,,"20","2026"
"1,504,684,527","KDR2986","NY","PAS","07/08/2026 12:00:00 AM","40","SUBN","NISSA","P","73,330","10,430","10,480","20,260,706","68","68","68","973,727","0068","0000","0928P",,"K","F","7714","RIDGE BLVD",,"0","408","E2",,"bbbbbbb","ALL","ALL","BLK","0","2024","-","0",,,,,"20","2026"
"1,501,208,056","9POR009","CA","PAS","07/08/2026 12:00:00 AM","40","SUBN","KIA","P","18,890","6,940","7,090","20,260,530","115","115","115","953,547","0115","0000","0102A",,"Q","F","23-50","96 ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,"20","2026"
"1,501,254,637","MSR3507","PA","PAS","07/08/2026 12:00:00 AM","40","SDN","BMW","P","0","40,404","40,404","20,260,131","75","75","75","975,337","0075","0000","1115P",,,"F","165","ELMIRA LP",,"0","408","C",,"BBBBBBB","ALL","ALL","WHITE","0","2022","-","0",,,,,"20","2026"
"1,502,044,912","MBJ7367","NY","PAS","07/09/2026 12:00:00 AM","20","SDN","BMW","P","19,130","27,790","0","20,280,131","23","23","23","981,138","0023","0000","0530P","0525P","NY","F","70","E 108TH STREET","PARK AVE","20,260,709","408","C",,"bbbbbbb","ALL","ALL","BLU","0","2007","-","0",,,,,"20","2026"
"1,501,236,880","M25MBM","NJ","PAS","07/09/2026 12:00:00 AM","98","SUBN","HONDA","P","0","40,404","40,404","88,888,888","87","87","87","975,540","0087","0000","1246P",,"K","F","878","HERKIMER",,"0","408","D1",,"BBBBBBB","ALL","ALL","GRY","0","0","-","0",,,,,"20","2026"
"1,499,882,476","10632MM","NY","COM","07/10/2026 12:00:00 AM","78","DELV","FRUEH","P","22,870","37,420","27,135","20,260,630","116","116","116","966,035","0116","0000","1158P",,"Q","O","240-02","144 AVE",,"0","408","K6",,"BBBBBBB","ALL","ALL","WH","0","0","-","0",,,,,"20","2026"
"1,501,756,023","LSK2997","NY","PAS","07/10/2026 12:00:00 AM","40","VAN",,"P","34,330","82,230","72,030","20,261,202","75","75","75","970,573","0075","0000","1205P",,"K","F","390","DUMONT AVE",,"0","408","F2",,"BBBBBBB","ALL","ALL","GRAY","0","2015","-","0",,,,,"20","2026"
"1,490,065,945","E53UKW","NJ","PAS","07/10/2026 12:00:00 AM","98","SUBN","JEEP","P","17,230","32,200","12,410","20,260,430","9","9","9","979,526","0009","0000","0754A","0750A",,"F","730","E 12 STREET",,"20,260,710","408","C4",,"BBBBBBB","ALL","ALL","GRAY","0","2021","-","0",,,,,"20","2026"
"1,489,091,798","T734913C","NY","PAS","07/11/2026 12:00:00 AM","46","TAXI","TOYOT","P","64,720","26,670","26,700","20,260,331","44","44","44","979,954","0044","0000","0739P","0737P","BX","F","1240","SHERMAN AVE",,"20,260,711","408","F1",,"BBBBBBB","ALL","ALL","BLK","0","2019","-","0",,,,,"20","2026"
"1,499,882,439","B989176","ME","PAS","07/11/2026 12:00:00 AM","78","DELV",,"P","63,290","21,370","56,013","20,220,228","116","116","116","966,035","0116","0000","1245A",,"Q","F","121-07","SPRINGFIELD BLVD",,"0","408","E3",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,"20","2026"
"1,501,240,602","KUY9345","NY","PAS","07/11/2026 12:00:00 AM","40","SUBN","BMW","P","42,730","58,730","23,330","20,260,230","79","79","79","980,536","0079","0000","0730P",,"K","F","1368","FULTON ST",,"0","408","F7",,"BBBBBBB","ALL","ALL","BLK","0","2025","-","0",,,,,"20","2026"
"1,491,639,325","LXR1921","NY","PAS","07/11/2026 12:00:00 AM","17",,"ME/BE","Y","67,730","14,880","62,930","20,270,610","60","60","976","100,079","0976","0000","0839A",,,"F","2601","OCEAN PKWY",,"0","408","C4",,"BBBBBBB","0700A","0700P","GREY","0","0","-","0",,,,,"20","2026"
"1,496,830,386","K25SRZ","NJ","PAS","07/12/2026 12:00:00 AM","20","SDN","CHEVR","K","46,850","46,100","47,150","88,888,888","122","122","5","160,356","0005","0000","0220P",,"R","F","280","FATHER CAPODANNO BLV",,"0","408","E1",,"BBBBBBB","ALL","ALL","GLD","0","0","-","0",,,,,"20","2026"
"1,496,092,776","LKA1326","NY","PAS","07/13/2026 12:00:00 AM","67","SDN","HONDA","P","67,390","35,780","5,790","20,260,410","114","114","114","973,136","0114","0000","0905A",,"Q","F","11-33","WELLING COURT",,"0","408","5",,"BBBBBBB","ALL","ALL","GREEN","0","2002","-","0",,,,,"20","2026"
"1,496,829,074","LLF1621","NY","PAS","07/13/2026 12:00:00 AM","27","SUBN","TOYOT","K","23,904","25,680","21,950","20,260,623","120","120","5","160,486","0005","0000","0525P",,"R","I",,"CLOVE LAKE PARK",,"0","408","F6",,"BBBBBBB","ALL","ALL","GRY","0","2021","-","0",,,,,"20","2026"
"1,498,040,767","M44SHS","NJ","PAS","07/13/2026 12:00:00 AM","40","SDN","HONDA","P","37,492","18,950","44,430","20,260,420","69","69","69","974,550","0069","0000","0441A","0440A",,"O","619","EAST 76 STREET",,"20,260,713","408","C",,"BBBBBBB","ALL","ALL","GRAY","0","2020","-","0",,,,,"20","2026"
"1,500,057,812","24402MA","NY","PAS","07/13/2026 12:00:00 AM","78","VAN","FORD","P","10,080","42,630","6,080","20,261,031","68","68","68","963,788","0068","0000","1034P",,"K","F","920","71 ST",,"0","408","C4",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,"20","2026"
"1,498,936,039","LKN5165","NY","PAS","07/14/2026 12:00:00 AM","40","SUBN","ROLLS","P","42,330","58,200","24,245","20,260,324","84","84","84","979,757","0084","0000","0149P",,"K","F","70","FRONT ST",,"0","408","F2",,"BBBBBBB","ALL","ALL","GREEN","0","2024","-","0",,,,,"20","2026"
"1,501,653,428","LPW0518","PA","PAS","07/14/2026 12:00:00 AM","14","SUBN","JEEP","P","9,840","51,690","50,890","88,888,888","110","110","110","955,004","0110","0000","0905A",,"Q","F","89-11","43 AVE",,"0","408","F2",,"YYYYYBB","0700A","0400P","BK","0","0","-","0",,,,,"20","2026"
"1,473,252,647","KBG1576","NY","PAS","07/15/2026 12:00:00 AM","22","SDN","INFIN","P","16,150","23,130","21,690","20,260,930","5","5","5","963,034","0005","0000","1150A","1149A","NY","F","13","CROSBY ST",,"20,250,715","408","C",,"BBBBBBB","ALL","ALL","WH","0","2019","-","0",,,,,"20","2026"
